# Нови-Сад / Ветер / 5-10 дней / ECMWF IFS
# n=1860, MAE=1.035, RMSE=1.365, bias=-0.525
# skill = 1 - (RMSE/RMSE_персистентности)^2 = 1 - (1.365/1.389)^2 = 0.0337  (RMSE_персистентности по 1860 пар(ам))
# persistence baseline = как сейчас (на момент забора) - выбран автоматически как более сильный (ниже RMSE) из двух кандидатов для этого периода, одинаково для всех источников
#
fetched_at,valid_time,lead_hours,forecast,observed,persistence,error,abs_error
2026-08-06T10:08:26Z,2026-08-12T21:00:00Z,154.9,2.04,2.0,3.0,0.04,0.04
2026-08-06T10:08:26Z,2026-08-12T22:00:00Z,155.9,2.11,2.0,3.0,0.11,0.11
2026-08-06T10:08:26Z,2026-08-12T23:00:00Z,156.9,2.3,2.0,3.0,0.3,0.3
2026-08-06T10:08:26Z,2026-08-13T00:00:00Z,157.9,2.3,3.0,3.0,-0.7,0.7
2026-08-06T10:08:26Z,2026-08-13T01:00:00Z,158.9,2.22,1.0,3.0,1.22,1.22
2026-08-06T10:08:26Z,2026-08-13T02:00:00Z,159.9,2.09,1.0,3.0,1.09,1.09
2026-08-06T10:08:26Z,2026-08-13T03:00:00Z,160.9,2.01,1.0,3.0,1.01,1.01
2026-08-06T10:08:26Z,2026-08-13T04:00:00Z,161.9,2.0,2.0,3.0,0.0,0.0
2026-08-06T10:08:26Z,2026-08-13T05:00:00Z,162.9,2.06,3.0,3.0,-0.94,0.94
2026-08-06T10:08:26Z,2026-08-13T06:00:00Z,163.9,2.2,2.0,3.0,0.2,0.2
2026-08-06T10:08:26Z,2026-08-13T07:00:00Z,164.9,2.28,1.0,3.0,1.28,1.28
2026-08-06T10:08:26Z,2026-08-13T08:00:00Z,165.9,2.4,2.0,3.0,0.4,0.4
2026-08-06T10:08:26Z,2026-08-13T09:00:00Z,166.9,2.57,2.0,3.0,0.57,0.57
2026-08-06T10:08:26Z,2026-08-13T10:00:00Z,167.9,2.65,2.0,3.0,0.65,0.65
2026-08-06T10:08:26Z,2026-08-13T11:00:00Z,168.9,2.73,2.0,3.0,0.73,0.73
2026-08-06T10:08:26Z,2026-08-13T12:00:00Z,169.9,2.73,3.0,3.0,-0.27,0.27
2026-08-06T10:08:26Z,2026-08-13T13:00:00Z,170.9,2.65,2.0,3.0,0.65,0.65
2026-08-06T10:08:26Z,2026-08-13T14:00:00Z,171.9,2.57,3.0,3.0,-0.43,0.43
2026-08-06T10:08:26Z,2026-08-13T15:00:00Z,172.9,2.44,2.0,3.0,0.44,0.44
2026-08-06T10:08:26Z,2026-08-13T16:00:00Z,173.9,2.33,3.0,3.0,-0.67,0.67
2026-08-06T10:08:26Z,2026-08-13T17:00:00Z,174.9,2.16,2.0,3.0,0.16,0.16
2026-08-06T10:08:26Z,2026-08-13T18:00:00Z,175.9,2.06,1.0,3.0,1.06,1.06
2026-08-06T10:08:26Z,2026-08-13T19:00:00Z,176.9,1.91,0.0,3.0,1.91,1.91
2026-08-06T10:08:26Z,2026-08-13T20:00:00Z,177.9,1.7,1.0,3.0,0.7,0.7
2026-08-06T10:08:26Z,2026-08-13T21:00:00Z,178.9,1.5,2.0,3.0,-0.5,0.5
2026-08-06T10:08:26Z,2026-08-13T22:00:00Z,179.9,1.3,2.0,3.0,-0.7,0.7
2026-08-06T10:08:26Z,2026-08-13T23:00:00Z,180.9,1.08,2.0,3.0,-0.92,0.92
2026-08-06T10:08:26Z,2026-08-14T00:00:00Z,181.9,1.04,1.0,3.0,0.04,0.04
2026-08-06T10:08:26Z,2026-08-14T01:00:00Z,182.9,1.04,1.0,3.0,0.04,0.04
2026-08-06T10:08:26Z,2026-08-14T02:00:00Z,183.9,1.14,2.0,3.0,-0.86,0.86
2026-08-06T10:08:26Z,2026-08-14T03:00:00Z,184.9,1.26,1.0,3.0,0.26,0.26
2026-08-06T10:08:26Z,2026-08-14T04:00:00Z,185.9,1.39,1.0,3.0,0.39,0.39
2026-08-06T10:08:26Z,2026-08-14T05:00:00Z,186.9,1.43,1.0,3.0,0.43,0.43
2026-08-06T10:08:26Z,2026-08-14T06:00:00Z,187.9,1.48,2.0,3.0,-0.52,0.52
2026-08-06T10:08:26Z,2026-08-14T07:00:00Z,188.9,1.58,3.0,3.0,-1.42,1.42
2026-08-06T10:08:26Z,2026-08-14T08:00:00Z,189.9,1.56,2.0,3.0,-0.44,0.44
2026-08-06T10:08:26Z,2026-08-14T09:00:00Z,190.9,1.63,2.0,3.0,-0.37,0.37
2026-08-06T10:08:26Z,2026-08-14T10:00:00Z,191.9,1.72,1.0,3.0,0.72,0.72
2026-08-06T10:08:26Z,2026-08-14T11:00:00Z,192.9,1.75,1.0,3.0,0.75,0.75
2026-08-06T10:08:26Z,2026-08-14T12:00:00Z,193.9,1.79,2.0,3.0,-0.21,0.21
2026-08-06T10:08:26Z,2026-08-14T13:00:00Z,194.9,1.71,2.0,3.0,-0.29,0.29
2026-08-06T10:08:26Z,2026-08-14T14:00:00Z,195.9,1.55,3.0,3.0,-1.45,1.45
2026-08-06T10:08:26Z,2026-08-14T15:00:00Z,196.9,1.32,2.0,3.0,-0.68,0.68
2026-08-06T10:08:26Z,2026-08-14T16:00:00Z,197.9,1.1,2.0,3.0,-0.9,0.9
2026-08-06T10:08:26Z,2026-08-14T17:00:00Z,198.9,0.91,1.0,3.0,-0.09,0.09
2026-08-06T10:08:26Z,2026-08-14T18:00:00Z,199.9,0.63,2.0,3.0,-1.37,1.37
2026-08-06T10:08:26Z,2026-08-14T19:00:00Z,200.9,0.22,1.0,3.0,-0.78,0.78
2026-08-06T10:08:26Z,2026-08-14T20:00:00Z,201.9,0.4,2.0,3.0,-1.6,1.6
2026-08-06T10:08:26Z,2026-08-14T21:00:00Z,202.9,0.92,3.0,3.0,-2.08,2.08
2026-08-06T10:08:26Z,2026-08-14T22:00:00Z,203.9,1.46,4.0,3.0,-2.54,2.54
2026-08-06T10:08:26Z,2026-08-14T23:00:00Z,204.9,1.99,3.0,3.0,-1.01,1.01
2026-08-06T10:08:26Z,2026-08-15T00:00:00Z,205.9,2.31,4.0,3.0,-1.69,1.69
2026-08-06T10:08:26Z,2026-08-15T01:00:00Z,206.9,2.31,4.0,3.0,-1.69,1.69
2026-08-06T10:08:26Z,2026-08-15T02:00:00Z,207.9,2.09,4.0,3.0,-1.91,1.91
2026-08-06T10:08:26Z,2026-08-15T03:00:00Z,208.9,1.87,3.0,3.0,-1.13,1.13
2026-08-06T10:08:26Z,2026-08-15T04:00:00Z,209.9,1.55,3.0,3.0,-1.45,1.45
2026-08-06T10:08:26Z,2026-08-15T05:00:00Z,210.9,1.33,4.0,3.0,-2.67,2.67
2026-08-06T10:08:26Z,2026-08-15T06:00:00Z,211.9,1.04,4.0,3.0,-2.96,2.96
2026-08-06T10:08:26Z,2026-08-15T07:00:00Z,212.9,0.89,4.0,3.0,-3.11,3.11
2026-08-06T10:08:26Z,2026-08-15T08:00:00Z,213.9,0.86,5.0,3.0,-4.14,4.14
2026-08-06T10:08:26Z,2026-08-15T09:00:00Z,214.9,0.85,4.0,3.0,-3.15,3.15
2026-08-06T10:08:26Z,2026-08-15T10:00:00Z,215.9,0.86,2.0,3.0,-1.14,1.14
2026-08-06T10:08:26Z,2026-08-15T11:00:00Z,216.9,0.89,3.0,3.0,-2.11,2.11
2026-08-06T10:08:26Z,2026-08-15T12:00:00Z,217.9,0.95,3.0,3.0,-2.05,2.05
2026-08-06T10:08:26Z,2026-08-15T13:00:00Z,218.9,0.92,3.0,3.0,-2.08,2.08
2026-08-06T10:08:26Z,2026-08-15T14:00:00Z,219.9,0.81,3.0,3.0,-2.19,2.19
2026-08-06T10:08:26Z,2026-08-15T15:00:00Z,220.9,0.71,3.0,3.0,-2.29,2.29
2026-08-06T10:08:26Z,2026-08-15T16:00:00Z,221.9,0.61,4.0,3.0,-3.39,3.39
2026-08-06T10:08:26Z,2026-08-15T17:00:00Z,222.9,0.5,4.0,3.0,-3.5,3.5
2026-08-06T10:08:26Z,2026-08-15T18:00:00Z,223.9,0.41,2.0,3.0,-1.59,1.59
2026-08-06T10:08:26Z,2026-08-15T19:00:00Z,224.9,0.42,2.0,3.0,-1.58,1.58
2026-08-06T10:08:26Z,2026-08-15T20:00:00Z,225.9,0.76,2.0,3.0,-1.24,1.24
2026-08-06T10:08:26Z,2026-08-15T21:00:00Z,226.9,1.02,2.0,3.0,-0.98,0.98
2026-08-06T10:08:26Z,2026-08-15T22:00:00Z,227.9,1.3,2.0,3.0,-0.7,0.7
2026-08-06T10:47:54Z,2026-08-11T11:00:00Z,120.2,1.7,2.0,3.0,-0.3,0.3
2026-08-06T10:47:54Z,2026-08-11T12:00:00Z,121.2,1.75,2.0,3.0,-0.25,0.25
2026-08-06T10:47:54Z,2026-08-11T13:00:00Z,122.2,1.75,1.0,3.0,0.75,0.75
2026-08-06T10:47:54Z,2026-08-11T14:00:00Z,123.2,1.58,1.0,3.0,0.58,0.58
2026-08-06T10:47:54Z,2026-08-11T15:00:00Z,124.2,1.42,1.0,3.0,0.42,0.42
2026-08-06T10:47:54Z,2026-08-11T16:00:00Z,125.2,1.3,1.0,3.0,0.3,0.3
2026-08-06T10:47:54Z,2026-08-11T17:00:00Z,126.2,1.3,1.0,3.0,0.3,0.3
2026-08-06T10:47:54Z,2026-08-11T18:00:00Z,127.2,1.26,1.0,3.0,0.26,0.26
2026-08-06T10:47:54Z,2026-08-11T19:00:00Z,128.2,1.06,1.0,3.0,0.06,0.06
2026-08-06T10:47:54Z,2026-08-11T20:00:00Z,129.2,1.0,1.0,3.0,0.0,0.0
2026-08-06T10:47:54Z,2026-08-11T21:00:00Z,130.2,1.39,1.0,3.0,0.39,0.39
2026-08-06T10:47:54Z,2026-08-11T22:00:00Z,131.2,1.63,1.0,3.0,0.63,0.63
2026-08-06T10:47:54Z,2026-08-11T23:00:00Z,132.2,1.78,2.0,3.0,-0.22,0.22
2026-08-06T10:47:54Z,2026-08-12T00:00:00Z,133.2,1.75,3.0,3.0,-1.25,1.25
2026-08-06T10:47:54Z,2026-08-12T01:00:00Z,134.2,1.52,4.0,3.0,-2.48,2.48
2026-08-06T10:47:54Z,2026-08-12T02:00:00Z,135.2,1.24,4.0,3.0,-2.76,2.76
2026-08-06T10:47:54Z,2026-08-12T03:00:00Z,136.2,0.9,4.0,3.0,-3.1,3.1
2026-08-06T10:47:54Z,2026-08-12T04:00:00Z,137.2,0.67,2.0,3.0,-1.33,1.33
2026-08-06T10:47:54Z,2026-08-12T05:00:00Z,138.2,0.73,1.0,3.0,-0.27,0.27
2026-08-06T10:47:54Z,2026-08-12T06:00:00Z,139.2,1.0,1.0,3.0,0.0,0.0
2026-08-06T10:47:54Z,2026-08-12T07:00:00Z,140.2,1.33,2.0,3.0,-0.67,0.67
2026-08-06T10:47:54Z,2026-08-12T08:00:00Z,141.2,1.58,1.0,3.0,0.58,0.58
2026-08-06T10:47:54Z,2026-08-12T09:00:00Z,142.2,1.8,2.0,3.0,-0.2,0.2
2026-08-06T10:47:54Z,2026-08-12T10:00:00Z,143.2,2.02,2.0,3.0,0.02,0.02
2026-08-06T10:47:54Z,2026-08-12T11:00:00Z,144.2,2.19,2.0,3.0,0.19,0.19
2026-08-06T10:47:54Z,2026-08-12T12:00:00Z,145.2,2.33,2.0,3.0,0.33,0.33
2026-08-06T10:47:54Z,2026-08-12T13:00:00Z,146.2,2.28,2.0,3.0,0.28,0.28
2026-08-06T10:47:54Z,2026-08-12T14:00:00Z,147.2,2.25,2.0,3.0,0.25,0.25
2026-08-06T10:47:54Z,2026-08-12T15:00:00Z,148.2,2.14,2.0,3.0,0.14,0.14
2026-08-06T10:47:54Z,2026-08-12T16:00:00Z,149.2,2.05,2.0,3.0,0.05,0.05
2026-08-06T10:47:54Z,2026-08-12T17:00:00Z,150.2,1.91,2.0,3.0,-0.09,0.09
2026-08-06T10:47:54Z,2026-08-12T18:00:00Z,151.2,1.86,2.0,3.0,-0.14,0.14
2026-08-06T10:47:54Z,2026-08-12T19:00:00Z,152.2,1.92,2.0,3.0,-0.08,0.08
2026-08-06T10:47:54Z,2026-08-12T20:00:00Z,153.2,1.9,2.0,3.0,-0.1,0.1
2026-08-06T10:47:54Z,2026-08-12T21:00:00Z,154.2,2.04,2.0,3.0,0.04,0.04
2026-08-06T10:47:54Z,2026-08-12T22:00:00Z,155.2,2.11,2.0,3.0,0.11,0.11
2026-08-06T10:47:54Z,2026-08-12T23:00:00Z,156.2,2.3,2.0,3.0,0.3,0.3
2026-08-06T10:47:54Z,2026-08-13T00:00:00Z,157.2,2.3,3.0,3.0,-0.7,0.7
2026-08-06T10:47:54Z,2026-08-13T01:00:00Z,158.2,2.22,1.0,3.0,1.22,1.22
2026-08-06T10:47:54Z,2026-08-13T02:00:00Z,159.2,2.09,1.0,3.0,1.09,1.09
2026-08-06T10:47:54Z,2026-08-13T03:00:00Z,160.2,2.01,1.0,3.0,1.01,1.01
2026-08-06T10:47:54Z,2026-08-13T04:00:00Z,161.2,2.0,2.0,3.0,0.0,0.0
2026-08-06T10:47:54Z,2026-08-13T05:00:00Z,162.2,2.06,3.0,3.0,-0.94,0.94
2026-08-06T10:47:54Z,2026-08-13T06:00:00Z,163.2,2.2,2.0,3.0,0.2,0.2
2026-08-06T10:47:54Z,2026-08-13T07:00:00Z,164.2,2.28,1.0,3.0,1.28,1.28
2026-08-06T10:47:54Z,2026-08-13T08:00:00Z,165.2,2.4,2.0,3.0,0.4,0.4
2026-08-06T10:47:54Z,2026-08-13T09:00:00Z,166.2,2.57,2.0,3.0,0.57,0.57
2026-08-06T10:47:54Z,2026-08-13T10:00:00Z,167.2,2.65,2.0,3.0,0.65,0.65
2026-08-06T10:47:54Z,2026-08-13T11:00:00Z,168.2,2.73,2.0,3.0,0.73,0.73
2026-08-06T10:47:54Z,2026-08-13T12:00:00Z,169.2,2.73,3.0,3.0,-0.27,0.27
2026-08-06T10:47:54Z,2026-08-13T13:00:00Z,170.2,2.65,2.0,3.0,0.65,0.65
2026-08-06T10:47:54Z,2026-08-13T14:00:00Z,171.2,2.57,3.0,3.0,-0.43,0.43
2026-08-06T10:47:54Z,2026-08-13T15:00:00Z,172.2,2.44,2.0,3.0,0.44,0.44
2026-08-06T10:47:54Z,2026-08-13T16:00:00Z,173.2,2.33,3.0,3.0,-0.67,0.67
2026-08-06T10:47:54Z,2026-08-13T17:00:00Z,174.2,2.16,2.0,3.0,0.16,0.16
2026-08-06T10:47:54Z,2026-08-13T18:00:00Z,175.2,2.06,1.0,3.0,1.06,1.06
2026-08-06T10:47:54Z,2026-08-13T19:00:00Z,176.2,1.91,0.0,3.0,1.91,1.91
2026-08-06T10:47:54Z,2026-08-13T20:00:00Z,177.2,1.7,1.0,3.0,0.7,0.7
2026-08-06T10:47:54Z,2026-08-13T21:00:00Z,178.2,1.5,2.0,3.0,-0.5,0.5
2026-08-06T10:47:54Z,2026-08-13T22:00:00Z,179.2,1.3,2.0,3.0,-0.7,0.7
2026-08-06T10:47:54Z,2026-08-13T23:00:00Z,180.2,1.08,2.0,3.0,-0.92,0.92
2026-08-06T10:47:54Z,2026-08-14T00:00:00Z,181.2,1.04,1.0,3.0,0.04,0.04
2026-08-06T10:47:54Z,2026-08-14T01:00:00Z,182.2,1.04,1.0,3.0,0.04,0.04
2026-08-06T10:47:54Z,2026-08-14T02:00:00Z,183.2,1.14,2.0,3.0,-0.86,0.86
2026-08-06T10:47:54Z,2026-08-14T03:00:00Z,184.2,1.26,1.0,3.0,0.26,0.26
2026-08-06T10:47:54Z,2026-08-14T04:00:00Z,185.2,1.39,1.0,3.0,0.39,0.39
2026-08-06T10:47:54Z,2026-08-14T05:00:00Z,186.2,1.43,1.0,3.0,0.43,0.43
2026-08-06T10:47:54Z,2026-08-14T06:00:00Z,187.2,1.48,2.0,3.0,-0.52,0.52
2026-08-06T10:47:54Z,2026-08-14T07:00:00Z,188.2,1.58,3.0,3.0,-1.42,1.42
2026-08-06T10:47:54Z,2026-08-14T08:00:00Z,189.2,1.56,2.0,3.0,-0.44,0.44
2026-08-06T10:47:54Z,2026-08-14T09:00:00Z,190.2,1.63,2.0,3.0,-0.37,0.37
2026-08-06T10:47:54Z,2026-08-14T10:00:00Z,191.2,1.72,1.0,3.0,0.72,0.72
2026-08-06T10:47:54Z,2026-08-14T11:00:00Z,192.2,1.75,1.0,3.0,0.75,0.75
2026-08-06T10:47:54Z,2026-08-14T12:00:00Z,193.2,1.79,2.0,3.0,-0.21,0.21
2026-08-06T10:47:54Z,2026-08-14T13:00:00Z,194.2,1.71,2.0,3.0,-0.29,0.29
2026-08-06T10:47:54Z,2026-08-14T14:00:00Z,195.2,1.55,3.0,3.0,-1.45,1.45
2026-08-06T10:47:54Z,2026-08-14T15:00:00Z,196.2,1.32,2.0,3.0,-0.68,0.68
2026-08-06T10:47:54Z,2026-08-14T16:00:00Z,197.2,1.1,2.0,3.0,-0.9,0.9
2026-08-06T10:47:54Z,2026-08-14T17:00:00Z,198.2,0.91,1.0,3.0,-0.09,0.09
2026-08-06T10:47:54Z,2026-08-14T18:00:00Z,199.2,0.63,2.0,3.0,-1.37,1.37
2026-08-06T10:47:54Z,2026-08-14T19:00:00Z,200.2,0.22,1.0,3.0,-0.78,0.78
2026-08-06T10:47:54Z,2026-08-14T20:00:00Z,201.2,0.4,2.0,3.0,-1.6,1.6
2026-08-06T10:47:54Z,2026-08-14T21:00:00Z,202.2,0.92,3.0,3.0,-2.08,2.08
2026-08-06T10:47:54Z,2026-08-14T22:00:00Z,203.2,1.46,4.0,3.0,-2.54,2.54
2026-08-06T10:47:54Z,2026-08-14T23:00:00Z,204.2,1.99,3.0,3.0,-1.01,1.01
2026-08-06T10:47:54Z,2026-08-15T00:00:00Z,205.2,2.31,4.0,3.0,-1.69,1.69
2026-08-06T10:47:54Z,2026-08-15T01:00:00Z,206.2,2.31,4.0,3.0,-1.69,1.69
2026-08-06T10:47:54Z,2026-08-15T02:00:00Z,207.2,2.09,4.0,3.0,-1.91,1.91
2026-08-06T10:47:54Z,2026-08-15T03:00:00Z,208.2,1.87,3.0,3.0,-1.13,1.13
2026-08-06T10:47:54Z,2026-08-15T04:00:00Z,209.2,1.55,3.0,3.0,-1.45,1.45
2026-08-06T10:47:54Z,2026-08-15T05:00:00Z,210.2,1.33,4.0,3.0,-2.67,2.67
2026-08-06T10:47:54Z,2026-08-15T06:00:00Z,211.2,1.04,4.0,3.0,-2.96,2.96
2026-08-06T10:47:54Z,2026-08-15T07:00:00Z,212.2,0.89,4.0,3.0,-3.11,3.11
2026-08-06T10:47:54Z,2026-08-15T08:00:00Z,213.2,0.86,5.0,3.0,-4.14,4.14
2026-08-06T10:47:54Z,2026-08-15T09:00:00Z,214.2,0.85,4.0,3.0,-3.15,3.15
2026-08-06T10:47:54Z,2026-08-15T10:00:00Z,215.2,0.86,2.0,3.0,-1.14,1.14
2026-08-06T10:47:54Z,2026-08-15T11:00:00Z,216.2,0.89,3.0,3.0,-2.11,2.11
2026-08-06T10:47:54Z,2026-08-15T12:00:00Z,217.2,0.95,3.0,3.0,-2.05,2.05
2026-08-06T10:47:54Z,2026-08-15T13:00:00Z,218.2,0.92,3.0,3.0,-2.08,2.08
2026-08-06T10:47:54Z,2026-08-15T14:00:00Z,219.2,0.81,3.0,3.0,-2.19,2.19
2026-08-06T10:47:54Z,2026-08-15T15:00:00Z,220.2,0.71,3.0,3.0,-2.29,2.29
2026-08-06T10:47:54Z,2026-08-15T16:00:00Z,221.2,0.61,4.0,3.0,-3.39,3.39
2026-08-06T10:47:54Z,2026-08-15T17:00:00Z,222.2,0.5,4.0,3.0,-3.5,3.5
2026-08-06T10:47:54Z,2026-08-15T18:00:00Z,223.2,0.41,2.0,3.0,-1.59,1.59
2026-08-06T10:47:54Z,2026-08-15T19:00:00Z,224.2,0.42,2.0,3.0,-1.58,1.58
2026-08-06T10:47:54Z,2026-08-15T20:00:00Z,225.2,0.76,2.0,3.0,-1.24,1.24
2026-08-06T10:47:54Z,2026-08-15T21:00:00Z,226.2,1.02,2.0,3.0,-0.98,0.98
2026-08-06T10:47:54Z,2026-08-15T22:00:00Z,227.2,1.3,2.0,3.0,-0.7,0.7
2026-08-06T11:30:42Z,2026-08-11T12:00:00Z,120.5,1.75,2.0,3.0,-0.25,0.25
2026-08-06T11:30:42Z,2026-08-11T13:00:00Z,121.5,1.75,1.0,3.0,0.75,0.75
2026-08-06T11:30:42Z,2026-08-11T14:00:00Z,122.5,1.58,1.0,3.0,0.58,0.58
2026-08-06T11:30:42Z,2026-08-11T15:00:00Z,123.5,1.42,1.0,3.0,0.42,0.42
2026-08-06T11:30:42Z,2026-08-11T16:00:00Z,124.5,1.3,1.0,3.0,0.3,0.3
2026-08-06T11:30:42Z,2026-08-11T17:00:00Z,125.5,1.3,1.0,3.0,0.3,0.3
2026-08-06T11:30:42Z,2026-08-11T18:00:00Z,126.5,1.26,1.0,3.0,0.26,0.26
2026-08-06T11:30:42Z,2026-08-11T19:00:00Z,127.5,1.06,1.0,3.0,0.06,0.06
2026-08-06T11:30:42Z,2026-08-11T20:00:00Z,128.5,1.0,1.0,3.0,0.0,0.0
2026-08-06T11:30:42Z,2026-08-11T21:00:00Z,129.5,1.39,1.0,3.0,0.39,0.39
2026-08-06T11:30:42Z,2026-08-11T22:00:00Z,130.5,1.63,1.0,3.0,0.63,0.63
2026-08-06T11:30:42Z,2026-08-11T23:00:00Z,131.5,1.78,2.0,3.0,-0.22,0.22
2026-08-06T11:30:42Z,2026-08-12T00:00:00Z,132.5,1.75,3.0,3.0,-1.25,1.25
2026-08-06T11:30:42Z,2026-08-12T01:00:00Z,133.5,1.52,4.0,3.0,-2.48,2.48
2026-08-06T11:30:42Z,2026-08-12T02:00:00Z,134.5,1.24,4.0,3.0,-2.76,2.76
2026-08-06T11:30:42Z,2026-08-12T03:00:00Z,135.5,0.9,4.0,3.0,-3.1,3.1
2026-08-06T11:30:42Z,2026-08-12T04:00:00Z,136.5,0.67,2.0,3.0,-1.33,1.33
2026-08-06T11:30:42Z,2026-08-12T05:00:00Z,137.5,0.73,1.0,3.0,-0.27,0.27
2026-08-06T11:30:42Z,2026-08-12T06:00:00Z,138.5,1.0,1.0,3.0,0.0,0.0
2026-08-06T11:30:42Z,2026-08-12T07:00:00Z,139.5,1.33,2.0,3.0,-0.67,0.67
2026-08-06T11:30:42Z,2026-08-12T08:00:00Z,140.5,1.58,1.0,3.0,0.58,0.58
2026-08-06T11:30:42Z,2026-08-12T09:00:00Z,141.5,1.8,2.0,3.0,-0.2,0.2
2026-08-06T11:30:42Z,2026-08-12T10:00:00Z,142.5,2.02,2.0,3.0,0.02,0.02
2026-08-06T11:30:42Z,2026-08-12T11:00:00Z,143.5,2.19,2.0,3.0,0.19,0.19
2026-08-06T11:30:42Z,2026-08-12T12:00:00Z,144.5,2.33,2.0,3.0,0.33,0.33
2026-08-06T11:30:42Z,2026-08-12T13:00:00Z,145.5,2.28,2.0,3.0,0.28,0.28
2026-08-06T11:30:42Z,2026-08-12T14:00:00Z,146.5,2.25,2.0,3.0,0.25,0.25
2026-08-06T11:30:42Z,2026-08-12T15:00:00Z,147.5,2.14,2.0,3.0,0.14,0.14
2026-08-06T11:30:42Z,2026-08-12T16:00:00Z,148.5,2.05,2.0,3.0,0.05,0.05
2026-08-06T11:30:42Z,2026-08-12T17:00:00Z,149.5,1.91,2.0,3.0,-0.09,0.09
2026-08-06T11:30:42Z,2026-08-12T18:00:00Z,150.5,1.86,2.0,3.0,-0.14,0.14
2026-08-06T11:30:42Z,2026-08-12T19:00:00Z,151.5,1.92,2.0,3.0,-0.08,0.08
2026-08-06T11:30:42Z,2026-08-12T20:00:00Z,152.5,1.9,2.0,3.0,-0.1,0.1
2026-08-06T11:30:42Z,2026-08-12T21:00:00Z,153.5,2.04,2.0,3.0,0.04,0.04
2026-08-06T11:30:42Z,2026-08-12T22:00:00Z,154.5,2.11,2.0,3.0,0.11,0.11
2026-08-06T11:30:42Z,2026-08-12T23:00:00Z,155.5,2.3,2.0,3.0,0.3,0.3
2026-08-06T11:30:42Z,2026-08-13T00:00:00Z,156.5,2.3,3.0,3.0,-0.7,0.7
2026-08-06T11:30:42Z,2026-08-13T01:00:00Z,157.5,2.22,1.0,3.0,1.22,1.22
2026-08-06T11:30:42Z,2026-08-13T02:00:00Z,158.5,2.09,1.0,3.0,1.09,1.09
2026-08-06T11:30:42Z,2026-08-13T03:00:00Z,159.5,2.01,1.0,3.0,1.01,1.01
2026-08-06T11:30:42Z,2026-08-13T04:00:00Z,160.5,2.0,2.0,3.0,0.0,0.0
2026-08-06T11:30:42Z,2026-08-13T05:00:00Z,161.5,2.06,3.0,3.0,-0.94,0.94
2026-08-06T11:30:42Z,2026-08-13T06:00:00Z,162.5,2.2,2.0,3.0,0.2,0.2
2026-08-06T11:30:42Z,2026-08-13T07:00:00Z,163.5,2.28,1.0,3.0,1.28,1.28
2026-08-06T11:30:42Z,2026-08-13T08:00:00Z,164.5,2.4,2.0,3.0,0.4,0.4
2026-08-06T11:30:42Z,2026-08-13T09:00:00Z,165.5,2.57,2.0,3.0,0.57,0.57
2026-08-06T11:30:42Z,2026-08-13T10:00:00Z,166.5,2.65,2.0,3.0,0.65,0.65
2026-08-06T11:30:42Z,2026-08-13T11:00:00Z,167.5,2.73,2.0,3.0,0.73,0.73
2026-08-06T11:30:42Z,2026-08-13T12:00:00Z,168.5,2.73,3.0,3.0,-0.27,0.27
2026-08-06T11:30:42Z,2026-08-13T13:00:00Z,169.5,2.65,2.0,3.0,0.65,0.65
2026-08-06T11:30:42Z,2026-08-13T14:00:00Z,170.5,2.57,3.0,3.0,-0.43,0.43
2026-08-06T11:30:42Z,2026-08-13T15:00:00Z,171.5,2.44,2.0,3.0,0.44,0.44
2026-08-06T11:30:42Z,2026-08-13T16:00:00Z,172.5,2.33,3.0,3.0,-0.67,0.67
2026-08-06T11:30:42Z,2026-08-13T17:00:00Z,173.5,2.16,2.0,3.0,0.16,0.16
2026-08-06T11:30:42Z,2026-08-13T18:00:00Z,174.5,2.06,1.0,3.0,1.06,1.06
2026-08-06T11:30:42Z,2026-08-13T19:00:00Z,175.5,1.91,0.0,3.0,1.91,1.91
2026-08-06T11:30:42Z,2026-08-13T20:00:00Z,176.5,1.7,1.0,3.0,0.7,0.7
2026-08-06T11:30:42Z,2026-08-13T21:00:00Z,177.5,1.5,2.0,3.0,-0.5,0.5
2026-08-06T11:30:42Z,2026-08-13T22:00:00Z,178.5,1.3,2.0,3.0,-0.7,0.7
2026-08-06T11:30:42Z,2026-08-13T23:00:00Z,179.5,1.08,2.0,3.0,-0.92,0.92
2026-08-06T11:30:42Z,2026-08-14T00:00:00Z,180.5,1.04,1.0,3.0,0.04,0.04
2026-08-06T11:30:42Z,2026-08-14T01:00:00Z,181.5,1.04,1.0,3.0,0.04,0.04
2026-08-06T11:30:42Z,2026-08-14T02:00:00Z,182.5,1.14,2.0,3.0,-0.86,0.86
2026-08-06T11:30:42Z,2026-08-14T03:00:00Z,183.5,1.26,1.0,3.0,0.26,0.26
2026-08-06T11:30:42Z,2026-08-14T04:00:00Z,184.5,1.39,1.0,3.0,0.39,0.39
2026-08-06T11:30:42Z,2026-08-14T05:00:00Z,185.5,1.43,1.0,3.0,0.43,0.43
2026-08-06T11:30:42Z,2026-08-14T06:00:00Z,186.5,1.48,2.0,3.0,-0.52,0.52
2026-08-06T11:30:42Z,2026-08-14T07:00:00Z,187.5,1.58,3.0,3.0,-1.42,1.42
2026-08-06T11:30:42Z,2026-08-14T08:00:00Z,188.5,1.56,2.0,3.0,-0.44,0.44
